limit_bal,gender,education,marriage,age,pay_0,bill_amt1,avg_bill,pay_amt1,payment,leak_prediction
20000.0,2.0,2,1.0,24.0,2.0,3913.0,1284.0,0.0,1.0,1.0
120000.0,2.0,2,2.0,26.0,-1.0,2682.0,2846.1666666666665,0.0,1.0,0.0
90000.0,2.0,2,2.0,34.0,0.0,29239.0,16942.166666666668,1518.0,0.0,0.0
50000.0,2.0,2,1.0,37.0,0.0,46990.0,38555.666666666664,2000.0,0.0,1.0
50000.0,1.0,2,1.0,57.0,-1.0,8617.0,18223.166666666668,2000.0,0.0,0.0
50000.0,1.0,1,2.0,37.0,0.0,64400.0,39685.666666666664,2500.0,0.0,1.0
500000.0,1.0,1,2.0,29.0,0.0,367965.0,454099.1666666667,55000.0,0.0,0.0
100000.0,2.0,2,2.0,23.0,0.0,11876.0,2247.6666666666665,380.0,0.0,0.0
140000.0,2.0,3,1.0,28.0,0.0,11285.0,10868.666666666666,3329.0,0.0,0.0
20000.0,1.0,3,2.0,35.0,-2.0,0.0,4486.5,0.0,0.0,0.0
200000.0,2.0,3,2.0,34.0,0.0,11073.0,5744.5,2306.0,0.0,0.0
260000.0,2.0,1,2.0,51.0,-1.0,12261.0,14728.166666666666,21818.0,0.0,0.0
630000.0,2.0,2,2.0,41.0,-1.0,12137.0,6834.5,1000.0,0.0,0.0
70000.0,1.0,2,2.0,30.0,1.0,65802.0,56447.5,3200.0,1.0,1.0
250000.0,1.0,1,2.0,29.0,0.0,70887.0,62265.166666666664,3000.0,0.0,0.0
50000.0,2.0,3,3.0,23.0,1.0,50614.0,32736.0,0.0,0.0,1.0
20000.0,1.0,1,2.0,24.0,0.0,15376.0,17693.5,3200.0,1.0,1.0
320000.0,1.0,1,1.0,49.0,0.0,253286.0,161002.33333333334,10358.0,0.0,0.0
360000.0,2.0,1,1.0,49.0,1.0,0.0,0.0,0.0,0.0,1.0
180000.0,2.0,1,2.0,29.0,1.0,0.0,0.0,0.0,0.0,1.0
130000.0,2.0,3,2.0,39.0,0.0,38358.0,20647.166666666668,3000.0,0.0,0.0
120000.0,2.0,2,1.0,39.0,-1.0,316.0,316.0,316.0,1.0,0.0
70000.0,2.0,2,2.0,26.0,2.0,41087.0,44245.833333333336,2007.0,1.0,1.0
450000.0,2.0,1,1.0,40.0,-2.0,5512.0,4494.166666666667,19428.0,1.0,0.0
90000.0,1.0,1,2.0,23.0,0.0,4744.0,5310.666666666667,5757.0,0.0,0.0
50000.0,1.0,3,2.0,23.0,0.0,47620.0,35715.833333333336,1973.0,0.0,0.0
60000.0,1.0,1,2.0,27.0,1.0,-109.0,-65.66666666666667,0.0,1.0,1.0
50000.0,2.0,3,2.0,30.0,0.0,22541.0,18711.333333333332,1300.0,0.0,0.0
50000.0,2.0,3,1.0,47.0,-1.0,650.0,6701.333333333333,3415.0,0.0,0.0
50000.0,1.0,1,2.0,26.0,0.0,15329.0,16180.333333333334,1500.0,0.0,1.0
230000.0,2.0,1,2.0,27.0,-1.0,16646.0,18957.666666666668,17270.0,0.0,0.0
50000.0,1.0,2,2.0,33.0,2.0,30518.0,25311.5,1718.0,1.0,1.0
100000.0,1.0,1,2.0,32.0,0.0,93036.0,82539.5,3023.0,0.0,0.0
500000.0,2.0,2,1.0,54.0,-2.0,10929.0,20957.333333333332,4152.0,0.0,0.0
500000.0,1.0,1,1.0,58.0,-2.0,13709.0,9719.666666666666,5006.0,0.0,0.0
160000.0,1.0,1,2.0,30.0,-1.0,30265.0,4218.666666666667,131.0,0.0,0.0
280000.0,1.0,2,1.0,40.0,0.0,186503.0,178329.5,8026.0,0.0,0.0
60000.0,2.0,2,2.0,22.0,0.0,15054.0,5379.833333333333,1500.0,0.0,0.0
50000.0,1.0,1,2.0,25.0,1.0,0.0,130.0,780.0,1.0,1.0
280000.0,1.0,1,2.0,31.0,-1.0,498.0,8607.166666666666,9075.0,0.0,0.0
360000.0,1.0,1,2.0,33.0,0.0,218668.0,275125.1666666667,10000.0,0.0,0.0
70000.0,2.0,1,2.0,25.0,0.0,67521.0,65476.0,3000.0,0.0,0.0
10000.0,1.0,2,2.0,22.0,0.0,1877.0,3793.5,1500.0,0.0,1.0
140000.0,2.0,2,1.0,37.0,0.0,59504.0,64189.0,3000.0,0.0,0.0
40000.0,2.0,1,2.0,30.0,0.0,18927.0,24530.833333333332,3000.0,0.0,1.0
210000.0,1.0,1,2.0,29.0,-2.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.0,1,2.0,22.0,0.0,14028.0,13221.333333333334,3000.0,1.0,0.0
150000.0,2.0,4,2.0,46.0,0.0,4463.0,1639.5,1013.0,1.0,0.0
380000.0,1.0,2,2.0,32.0,-1.0,22401.0,19135.833333333332,21540.0,0.0,0.0
20000.0,1.0,1,2.0,24.0,0.0,17447.0,19301.666666666668,1318.0,0.0,1.0
70000.0,1.0,3,2.0,42.0,1.0,37042.0,38168.666666666664,0.0,1.0,1.0
100000.0,2.0,3,3.0,43.0,0.0,61559.0,44197.5,2000.0,0.0,0.0
310000.0,2.0,2,1.0,49.0,-2.0,13465.0,7354.166666666667,7875.0,0.0,0.0
180000.0,2.0,1,2.0,25.0,1.0,41402.0,43191.833333333336,1300.0,0.0,1.0
150000.0,2.0,1,2.0,29.0,2.0,46224.0,29458.5,1600.0,0.0,1.0
500000.0,2.0,1,1.0,45.0,-2.0,1905.0,1398.0,3640.0,0.0,0.0
180000.0,2.0,3,1.0,34.0,0.0,16386.0,9234.0,8500.0,0.0,0.0
180000.0,2.0,2,1.0,34.0,0.0,175886.0,158727.0,8083.0,0.0,0.0
200000.0,2.0,1,2.0,34.0,-1.0,1587.0,1124.5,0.0,0.0,0.0
400000.0,2.0,2,1.0,29.0,0.0,400134.0,380690.0,17000.0,0.0,0.0
500000.0,2.0,3,1.0,28.0,0.0,22848.0,18283.166666666668,1516.0,1.0,0.0
70000.0,1.0,2,1.0,39.0,0.0,70800.0,40707.0,4025.0,0.0,1.0
50000.0,1.0,1,2.0,29.0,2.0,24987.0,26279.0,0.0,1.0,1.0
50000.0,2.0,2,1.0,46.0,0.0,28718.0,9647.333333333334,1000.0,1.0,1.0
130000.0,2.0,2,1.0,51.0,-1.0,99.0,408.6666666666667,0.0,0.0,0.0
200000.0,1.0,1,1.0,57.0,-2.0,152519.0,78272.66666666667,0.0,1.0,0.0
10000.0,1.0,2,1.0,56.0,2.0,2097.0,3808.6666666666665,2300.0,1.0,1.0
210000.0,2.0,1,2.0,30.0,2.0,300.0,1431.5,300.0,0.0,1.0
130000.0,2.0,3,2.0,29.0,1.0,-190.0,1316.8333333333333,0.0,0.0,1.0
20000.0,1.0,4,2.0,22.0,2.0,18565.0,14721.0,0.0,0.0,1.0
80000.0,1.0,1,2.0,31.0,-1.0,780.0,390.0,0.0,0.0,0.0
320000.0,1.0,2,2.0,29.0,2.0,58267.0,60358.666666666664,2500.0,1.0,1.0
200000.0,2.0,2,1.0,32.0,-1.0,9076.0,4404.166666666667,5818.0,0.0,0.0
290000.0,2.0,1,2.0,37.0,1.0,0.0,919.0,0.0,0.0,1.0
340000.0,1.0,1,2.0,32.0,-1.0,3048.0,23699.833333333332,5713.0,0.0,0.0
20000.0,1.0,2,2.0,24.0,0.0,14619.0,16888.0,2850.0,0.0,1.0
50000.0,1.0,3,2.0,25.0,-1.0,42838.0,24234.333333333332,1759.0,0.0,0.0
300000.0,2.0,1,1.0,45.0,-1.0,291.0,291.0,291.0,0.0,0.0
30000.0,2.0,2,2.0,22.0,0.0,28387.0,24864.333333333332,1686.0,1.0,0.0
240000.0,2.0,2,2.0,44.0,1.0,0.0,0.0,0.0,1.0,1.0
470000.0,2.0,3,3.0,33.0,0.0,165254.0,102470.5,6400.0,0.0,0.0
360000.0,2.0,1,2.0,26.0,0.0,23411.0,49150.5,4796.0,0.0,0.0
60000.0,1.0,3,2.0,30.0,0.0,26324.0,23927.666666666668,1576.0,1.0,0.0
400000.0,2.0,2,1.0,44.0,0.0,131595.0,116825.33333333333,10700.0,0.0,0.0
